k,Credit Default log-likelihood
2,-5.298938566296372
3,-5.168845828868369
4,-4.947643416576473
5,-4.878810572338912
6,-4.892069413176562
7,-4.811256878021068
8,-4.7933850497696975
9,-4.741666736012824
10,-4.751723153917497
15,-4.649150203348084
20,-4.6291068537642035
25,-4.605497109367602
30,-4.585288806434169
35,-4.563506834143655
40,-4.52545299252041
