k,Spam log-likelihood
2,-5.914623887834663
3,-5.645137194994009
4,-4.942642961452488
5,-4.6633074558632
6,-4.545686374525467
7,-4.507885245290038
8,-4.455003180816106
9,-4.438549333873882
10,-4.29238252987341
15,-3.701182867906392
20,-3.5673152898107863
25,-3.503011812146996
30,-3.4483893075119285
35,-3.3897066561506572
40,-3.3337583604006333
