k,Credit Default sse (left)
2,114632.812591151
3,76374.06087732811
4,62734.04658629312
5,51336.78871277852
6,44368.53552044365
7,39781.80778962979
8,35678.8596704221
9,32674.790674514665
10,30734.10056224433
15,21889.498267520263
20,17445.16013130083
25,14615.202421025591
30,12808.59225648121
35,11239.798461553213
40,10268.290695926287
