,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,2.4323801040649413,0.049353183496836414,0.011524724960327148,0.0007871264856501037,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.49999999999999994,0.5000000000000001,7.446335752961717e-17,236,0.5000000000000001,0.49999999999999983,0.49999999999999983,0.49999999999999994,0.5,0.5,1.1905815549843722e-16
1,2.675696086883545,0.02040932062320932,0.018981742858886718,0.0027125584811272547,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.49999999999999994,0.5000000000000001,7.446335752961717e-17,236,0.5000000000000001,0.49999999999999983,0.49999999999999983,0.49999999999999994,0.5,0.5,1.1905815549843722e-16
2,2.831285572052002,0.039707425945333004,0.014527273178100587,0.0052716594563625395,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.49999999999999994,0.5000000000000001,7.446335752961717e-17,236,0.5000000000000001,0.49999999999999983,0.49999999999999983,0.49999999999999994,0.5,0.5,1.1905815549843722e-16
3,3.9132436752319335,1.2144231457686314,0.011195611953735352,0.0016526646462515842,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.5375599514351452,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.49999999999999994,0.5075145453857662,0.015025896558669328,233,0.5359403529105463,0.49999999999999983,0.49999999999999983,0.49999999999999994,0.5,0.5071880705821091,0.014376141164218564
4,4.467437219619751,1.5161372036271976,0.011732149124145507,0.0015677156363776933,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",0.5508659838072432,0.5502989586832383,0.5887369835404771,0.6040174672489084,0.5658110696642806,0.5719450759163223,0.02126618597494597,214,0.5422120108846281,0.5431657027274022,0.6085666111688505,0.6046650152068046,0.5754979399928479,0.5748214559961066,0.02861920257477649
5,6.371485805511474,2.7801604268649456,0.009857177734375,0.0006700194997518852,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",0.6027106433501701,0.6358145784346659,0.5937050722203562,0.6150151158884785,0.5939590684544813,0.6082414910148615,0.015823928125225362,187,0.5983397162941875,0.638774763869826,0.6197940573890487,0.6082745140855774,0.5959838674745521,0.6122333838226384,0.015712174057844037
6,5.0479779720306395,1.3517184543435485,0.00992898941040039,0.0006941855780549005,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",0.6470032667243542,0.6035707087672154,0.6208867987907289,0.6306483036614041,0.6420496017743724,0.6288320729276252,0.015553204394816042,81,0.6423941562313655,0.6060937030316516,0.6421948624411004,0.6306468587190822,0.63201934425624,0.6306697849358879,0.013237023317269433
7,5.033779430389404,1.2634805227293844,0.010963106155395507,0.0003815636697965213,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",0.6420481757994084,0.6096103459858919,0.6010648303661404,0.6303056768558952,0.6310525254561952,0.622817058896131,0.015109054260036595,138,0.6365641823511133,0.6057922870502702,0.6224998120478995,0.6260831802326526,0.6268124327391716,0.6235503788842215,0.010028645720721444
8,5.766214275360108,1.5872693822957002,0.011831045150756836,0.0009538494902899302,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.6429292522756392,0.6355660060463555,0.6072287537789722,0.6353778972119585,0.6365698827166717,0.6315347910160936,0.012466154497779842,58,0.6372601980397592,0.625601179117659,0.6268451260840616,0.6384640289903364,0.6327123301585382,0.6321765724780709,0.00524065860429018
9,7.832106208801269,1.5606265255699974,0.013893985748291015,0.0017997533561829842,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.6085082405972673,0.6168458179375211,0.6329022505878402,0.6262613369163589,0.6315939106764795,0.6232207408893464,0.009276140492020711,136,0.607230550866319,0.6142767030191844,0.6522828844709755,0.6267592411041988,0.6239763972204173,0.6249051553362189,0.01535705648926039
10,7.5564392566680905,0.5999725630446752,0.017955970764160157,0.001974378986165996,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",0.6196308668558281,0.6374672489082971,0.6174571716493115,0.6257944239166948,0.6319168598985112,0.626452478463889,0.007470920553109964,109,0.6227900467803842,0.6380557605083483,0.6389959617688425,0.6248443964395259,0.6244035926726201,0.6298179516339442,0.007148990781252914
