k,Spam log-likelihood
2,-1.4756227688976715
3,-1.3902138276353544
4,-1.3788670330941242
5,-1.3808505115750789
6,-1.36707696716025
7,-1.3676513853027041
8,-1.3661410860299652
9,-1.3662946494018071
10,-1.3652056808291704
15,-1.3439603545524217
20,-1.3375957644518752
25,-1.331644922662337
30,-1.324290900818645
35,-1.3190050247887595
40,-1.3143740025502226
