k,Spam BIC
2,6690.709750663702
3,6328.847628536975
4,6300.857663828909
5,6332.960569904852
6,6294.030816766603
7,6319.781678836584
8,6336.134634798877
9,6359.98828356294
10,6378.240598321292
15,6398.273592884704
20,6485.388946130437
25,6574.369476762195
30,6657.024471709827
35,6749.0026679860985
40,6843.932945153771
