k,Spam sse (left)
2,6171.620245867739
3,2456.620598058037
4,1511.863396808579
5,1013.5701845583501
6,694.5852809975713
7,515.7243346451085
8,412.3572950434745
9,327.25214160050655
10,261.95280130596495
15,113.03608400160846
20,61.43539890883498
25,38.2653580015722
30,24.516785056384645
35,17.631052498982257
40,12.572601961875645
