,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
10,1.22499737739563,0.1467748209021031,0.11874947547912598,0.01249973774354211,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 20}",0.9026102610261026,0.9276630798537817,0.9383847916947554,0.9245533033810225,0.9216765824385048,0.9229716824610036,0.011653159248084037,89,0.9211691762621774,0.9251872984314777,0.9264339921436313,0.941620163396773,0.9270718293006318,0.9282964919069382,0.006970719305846966
11,1.7499928951263428,0.2946451442620983,0.12187442779541016,0.006249833127686186,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 25}",0.9172924456174526,0.9395383971499445,0.948142654057729,0.9167880174745165,0.943946751721697,0.933133375469453,0.013427924059783814,20,0.9377097339133369,0.9447178614026819,0.9460406765049483,0.9410523539496207,0.9499215184371335,0.9438884288415442,0.0041937546484019424
12,1.8906194686889648,0.4048042670193892,0.12187509536743164,0.006250286147767575,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 30}",0.8956287514051199,0.9410906999907586,0.9527392671236405,0.9079278523489934,0.9286819859507074,0.9252034463841715,0.02096270308604579,69,0.92301320421667,0.9508460229268132,0.9471460684310969,0.9349592939571617,0.9460767190674897,0.9404082617198462,0.010185829197581079
13,1.4281214714050292,0.30129809178013334,0.12499966621398925,0.009882268530784694,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 35}",0.9251254683892619,0.931316806913805,0.9137999873915146,0.9157987017053163,0.9149584399316344,0.9202030383285605,0.006865043895494836,102,0.9504038990929184,0.9336407867944279,0.9173590117854267,0.9423504634294654,0.8992610754408029,0.9286030473086082,0.018314076856812078
14,2.203119421005249,0.22577901067129727,0.11874971389770508,0.00765490856292962,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 40}",0.9190426143276502,0.9444358934893027,0.9447869203966764,0.9328712932012636,0.9320587231136896,0.9346350466359071,0.00951164096590136,15,0.9506205643778163,0.9440903889383881,0.9494812962524891,0.9606570856570835,0.9580821295603523,0.952586292957226,0.006017098856658029
15,1.665618896484375,0.40354874245542177,0.1312495708465576,0.02119438045436798,0.1,"(50, 50)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 45}",0.9090131932172996,0.9322453016815034,0.9272641952135148,0.9283247859755227,0.9270399748684511,0.9247718918118636,0.008106107553318321,75,0.9289837281583814,0.9327256401804854,0.9369578392264306,0.9636592122033244,0.9491757227599077,0.942300428505706,0.01265718493144311
16,2.1343703269958496,0.5567916991780172,0.12187333106994629,0.006250596081687312,0.1,"(50, 50)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 50}",0.9239024644130427,0.9440880862886094,0.945668255794838,0.9328712932012636,0.9045113861833799,0.9302143192502111,0.015085631440244109,44,0.954085533120474,0.9661411332692295,0.9533559840694796,0.9525424793492232,0.8927723768354421,0.9437795013287698,0.02598646735853143
17,1.3124974250793457,0.29941291684509563,0.12499866485595704,0.009881665324720046,0.1,"(50, 50)",55,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 55}",0.9172924456174526,0.9303821101107745,0.90377583127817,0.9123759791122716,0.9199601287985919,0.9167564705104144,0.0087621796272545,138,0.9472661317484532,0.9314801134549923,0.9089666919786955,0.9236278761112527,0.9103071741778657,0.9243295974942519,0.014215161740494942
18,1.9031202793121338,0.40400696758840865,0.1249995231628418,5.001110306597479e-07,0.1,"(50, 50)",60,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 60}",0.9158576894047835,0.9432067389477569,0.933466764332656,0.9386425784250471,0.9320587231136896,0.9326414674678584,0.009282145158673486,27,0.936723832052039,0.9640664519938921,0.9418717561606035,0.9532591815131352,0.9236873403526512,0.9439217124144642,0.013845146998006267
19,0.45937275886535645,0.035078798419207614,0.11874938011169434,0.007654733327241011,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 2}",0.7659757865454688,0.7818487916177479,0.8007685973099095,0.8029831625183016,0.8344704867744486,0.7971880933071415,0.023001027649872864,364,0.8107856938798653,0.7979296736953649,0.801240338644446,0.7880342090086939,0.7949957098176045,0.798597125009195,0.007490509548873755
