,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,2.971537637710571,0.9036390459457784,0.2820560455322266,0.01755023605182662,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 2}",0.8045441730269649,0.7975065616797901,0.7738441348677568,0.7967292549969714,0.8164132968480794,0.7978037982206141,0.013903865262496056,365,0.7960922697991665,0.7711347721398749,0.7884357949148424,0.8102520488634605,0.8034103290339829,0.7938650429502655,0.013496287889633961
1,4.159072351455689,0.6211146219076319,0.26207737922668456,0.01711243730819491,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 3}",0.8363423082344884,0.8331718150615787,0.8337674136886734,0.804512416717141,0.8479274348839566,0.8311406798517486,0.014342567166156076,337,0.8420534924845271,0.8183326338112175,0.8468068656254831,0.8321235282422849,0.8419446448117752,0.8362522329950576,0.010154965994660564
2,5.128594875335693,0.7105704565357075,0.28716311454772947,0.05196906437626436,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 4}",0.8475642910365103,0.8617403593781545,0.8480516858469613,0.8454875832828589,0.8633120502685719,0.8532263033541544,0.007652791715512893,304,0.8550097890615133,0.849320727208465,0.8577459188407077,0.8606264772802579,0.8539826579973467,0.8553371140776582,0.0037925797915137733
3,3.9790136337280275,0.7006388207208154,0.25933399200439455,0.03368220118825882,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 5}",0.8416587792254868,0.8550575408843124,0.8258025439127801,0.8369271148798706,0.8713236039322997,0.8461447038884695,0.015693013870997932,312,0.846439623594796,0.8314652411142283,0.8413925644480771,0.8584594313989704,0.8616615257734039,0.8478836772658951,0.011094688524371829
4,4.141556072235107,0.34681278183364256,0.27686543464660646,0.029261762993002812,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 6}",0.871876069839096,0.8658590753078942,0.8552392489400362,0.8623359580052492,0.8955204216073781,0.8701588117735432,0.013765494269661933,269,0.8750110521662247,0.8650599748172038,0.8858269455919062,0.8783891846517481,0.8833235811891228,0.877522147683241,0.007279964359394497
5,3.8363958835601806,0.9568541953011819,0.3175605297088623,0.04973262892962526,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 7}",0.8892905330567694,0.8878356551584896,0.8681506157884111,0.8781748435291741,0.8643812709030101,0.8775743194828708,0.01005714571008312,259,0.8884962738411015,0.881590050586494,0.8942013298283594,0.8899887340122378,0.8506247887736005,0.8809802354083587,0.01571156410691355
6,3.7618804454803465,0.6159664156705141,0.25867505073547364,0.03108260830473697,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 8}",0.8899802646152607,0.8904906117504542,0.8726832222895212,0.8879265091863515,0.8960018242626937,0.8874146163712764,0.007835255729476139,223,0.886086901604143,0.8879939914731935,0.8953102564668978,0.8995957498508911,0.8799105408909089,0.8897794880572067,0.006945037159581414
7,3.08077187538147,0.6112388163050041,0.28734211921691893,0.036368477030632146,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 9}",0.8252210161709326,0.8953462547950736,0.8606904906117504,0.8911770644054107,0.8768267963920138,0.869836297835216,0.025425331596492278,272,0.8525356827080964,0.8764452495084937,0.8821842762155119,0.9017141973535974,0.865123431880432,0.8756005675332261,0.016539284467784438
8,3.492323970794678,0.33820818966002436,0.29743256568908694,0.023776945271149767,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 10}",0.8881124514167187,0.8948415101958409,0.8680597617605491,0.8676458711891781,0.9062024931590149,0.8849667995188744,0.015123077266662108,238,0.8904904004041936,0.8973072080231506,0.8928980096754954,0.8875035896529634,0.9013222772601855,0.8939042970031977,0.004903928899580576
9,5.408135175704956,1.7409676048285885,0.25375566482543943,0.06902507425364968,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 15}",0.9253126447429365,0.9216232586311325,0.8987785180698564,0.9037653947102764,0.9047076112293505,0.9108438845554413,0.010574861372862086,126,0.9259646962233169,0.9138328657580242,0.9223309549581392,0.9271841657646512,0.9090011450362426,0.9196627655480748,0.0070860836811571055
10,4.362521505355835,1.2380030814420213,0.25598821640014646,0.03078061296927832,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 20}",0.9197092051473105,0.9057843731072077,0.9099030890369472,0.904865737936604,0.9323755954190737,0.9145236664678535,0.010354985643859478,87,0.9333064923582164,0.8949170514038306,0.9186617773752459,0.9167907397998629,0.9298655843467996,0.918708329056791,0.013470671292545897
