k,Credit Default sse (left)
2,9.500934434944211
3,9.097895039128733
4,8.662408549977396
5,8.23794219483997
6,7.945858114631568
7,7.687554146157086
8,7.337169515614986
9,6.966301471487725
10,6.5997936556337855
15,5.473619998289092
20,4.855911606697319
25,4.475273824809767
30,4.219420298700741
35,3.999619868702827
40,3.823110287370416
