k,Credit Default log-likelihood
2,60.879274040776984
3,62.3032966695393
4,63.0382353742364
5,63.26577790951327
6,63.51957808327272
7,64.16019485259962
8,64.60771210643793
9,64.72315489720864
10,64.75807668657845
15,65.65324252669771
20,65.97912047561597
25,66.65566963929433
30,66.92837093062924
35,67.34921893753875
40,67.719210025873
