k,Spam sse (left)
2,39.33712362127032
3,38.685729714503495
4,38.12270199833186
5,37.5902582668888
6,36.991753873948966
7,36.4937761852298
8,35.6292960029103
9,34.86643631361004
10,34.191898443944936
15,31.689575856199212
20,29.159332167321594
25,26.714760131149482
30,24.613557239832424
35,22.63548234381124
40,20.785833564690783
