k,Spam BIC
2,-805129.9333189228
3,-870367.5661045153
4,-890238.1095647294
5,-902246.1556014447
6,-910660.9546565493
7,-894856.2811631163
8,-899907.8366558162
9,-901476.8263603272
10,-893072.7789401487
15,-869197.9023835737
20,-822628.665909138
25,-760172.6320188208
30,-720859.9178314151
35,-660931.5340032685
40,-609550.4093746186
