,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,12.16434578895569,3.2187014365852225,0.11830205917358398,0.002626328872795528,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 2}",0.6335255609279971,0.6380573451201624,0.6495319306335249,0.6456783838402452,0.6488755771681795,0.6431337595380219,0.006300279990227708,170,0.6459012544265601,0.6446138456521229,0.6416870752172185,0.6428630486984981,0.6417946438003144,0.6433719735589427,0.001644710558493093
1,9.647505283355713,1.4011451960642958,0.1228055477142334,0.007735531251595527,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 3}",0.6294459350017554,0.6314395119849912,0.6492197966340864,0.6448280367084063,0.638410614333022,0.6386687789324522,0.007571660724291478,317,0.6416273468873313,0.6407069876222494,0.6395891381975338,0.6410724328582819,0.6337866461275803,0.6393565103385953,0.0028636473479885225
2,10.924389553070068,1.196573969377663,0.14708704948425294,0.042340597717671805,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 4}",0.6309873537190673,0.6317452288911362,0.6489140797279415,0.6452133913877343,0.6467959453184672,0.6407311998088692,0.0077397792367984875,252,0.6442252824261483,0.6398216344237891,0.6409744899151265,0.6425143043591149,0.6405422410924986,0.6416155904433355,0.001574772736864052
3,11.261325645446778,1.0527663847078739,0.1335850715637207,0.029785512749216557,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 5}",0.6333727024749246,0.6349012870056494,0.6499905059927423,0.6456783838402453,0.648337364035779,0.6424560486698682,0.006947272319898017,207,0.6465740208420606,0.6446687611620399,0.6408781512452943,0.6438264353968182,0.6419658074233592,0.6435826352139145,0.0020057847203271643
4,9.743011856079102,2.741783157577851,0.12026128768920899,0.0029354673784878385,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 6}",0.6274459409252262,0.6385223375726735,0.6493726550871587,0.6443694613491888,0.6484902224888515,0.6416401234846197,0.008066729127138612,220,0.6402037805564704,0.6477332934266914,0.6381273572534049,0.6425358180757341,0.6412731315645629,0.6419746761753726,0.003222007197411633
5,13.497021818161011,5.217095235107632,0.12284960746765136,0.004955360737075146,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 7}",0.625060592169369,0.6404426938760198,0.653764415012839,0.6439108859899716,0.6427959571654086,0.6411949088427216,0.00926082474543963,228,0.6362619164599758,0.6478264235498765,0.6434776910574348,0.6438630457367629,0.6387715346955778,0.6420401222999256,0.004072892426776021
6,8.860281419754028,2.4672706906935113,0.1284858226776123,0.016928566410861257,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 8}",0.6331466233419627,0.6339777191939209,0.6493726550871587,0.6429809010849494,0.6478723715832679,0.6414700540582519,0.006799088351528073,225,0.6471536571343761,0.6427451963120469,0.6393964608578698,0.6385310171027052,0.641135369734816,0.6417923402283627,0.0030482693581838135
7,11.981422233581544,3.0191646937640466,0.12060022354125977,0.00289444595786755,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 9}",0.6333727024749246,0.6380573451201624,0.6494522928603418,0.6449937293480662,0.6467163075452841,0.6425184754697559,0.005922387139852712,204,0.6448033144451402,0.6479410673896809,0.6410493148683393,0.6470772279078401,0.6383264516863626,0.6438394752594726,0.00364454414478249
8,9.859022951126098,2.9572941720322876,0.1298316478729248,0.01864523361583988,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 10}",0.6295255727749385,0.6338980814207378,0.6493726550871588,0.6448408708949935,0.647566654677123,0.6410407669709903,0.007874846208138936,231,0.6426074344823001,0.6422818081328592,0.6380891426401368,0.646251603039267,0.6409442966684754,0.6420348569926076,0.002643019509623672
9,13.400524806976318,4.904584501657164,0.12712540626525878,0.005004934863166576,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 15}",0.6312930706252123,0.6310541573056632,0.6563090393150623,0.6458504935731988,0.6513405636972198,0.6431694649032713,0.010338593764966368,167,0.6445110898889974,0.6435493074640006,0.6503495341354808,0.6520072009659206,0.6455390177371748,0.6471912300383148,0.0033569336451899083
10,15.561323356628417,3.021360079186544,0.13386297225952148,0.02259721826546397,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 20}",0.6436180032704137,0.6426147976855026,0.6552326130502614,0.6443887126290699,0.6642037094748219,0.6500115672220139,0.008436617504870682,81,0.6595055744795818,0.6596982518192457,0.6519593607127119,0.6535325769499982,0.6605534117710551,0.6570498351465186,0.0035666188720007816
