,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,2.5553924083709716,0.2077943471677409,0.00805506706237793,0.0005714847208822776,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.5000000000000001,0.5000000000000001,0.5000000000000001,0.49999999999999994,0.49999999999999994,0.5000000000000001,1.0530709011822133e-16,235,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.5000000000000001,0.5000000000000001,0.5,8.233634315563857e-17
1,4.463465785980224,3.0558177922396337,0.00928802490234375,0.0011684192166625026,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 3}",0.5000000000000001,0.5000000000000001,0.5385522337924086,0.49999999999999994,0.49999999999999994,0.5077104467584818,0.015420893516963418,155,0.49999999999999994,0.49999999999999994,0.5343098753642392,0.5000000000000001,0.5000000000000001,0.5068619750728478,0.013723950145695683
2,6.349634027481079,1.4622050670717448,0.007915067672729491,0.0015099171411053196,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 4}",0.5087876226698597,0.5040740144487151,0.529707759489419,0.5139883052727089,0.5474822730786032,0.5208046882611651,0.015884791780922915,82,0.5079214665281945,0.5071479555085696,0.5236806098891792,0.5183337810559862,0.5434782754646561,0.5201124176893173,0.013255605782270854
3,5.505169868469238,4.620520351367565,0.00837550163269043,0.0009123377397843635,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.5000000000000001,0.5271772013496201,0.5000000000000001,0.49999999999999994,0.49999999999999994,0.5054372890591314,0.010872266886144372,175,0.49999999999999994,0.5350643355458478,0.49999999999999994,0.5000000000000001,0.5000000000000001,0.5070128671091696,0.014025734218339093
4,4.535027408599854,1.1890373237175367,0.007912635803222656,0.0004176899718226835,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 6}",0.5003313679324385,0.5000000000000001,0.5000000000000001,0.4993446920052424,0.5097909735524414,0.5018928077662131,0.003961213827765444,199,0.5012956152147706,0.49999999999999994,0.49999999999999994,0.5001113641912011,0.5090751745216188,0.502096430785518,0.003523484161262143
5,4.994651126861572,1.7929657973766373,0.007826757431030274,0.0008979193447146255,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 7}",0.5000000000000001,0.5000000000000001,0.5000000000000001,0.506618946802433,0.5016617938636286,0.5016555848175208,0.002563254546741925,203,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.5116081853603673,0.5054721820726479,0.5034160734866029,0.004611874969413096
6,3.9018476009368896,0.42825670520464054,0.007863616943359375,0.0007925290575232605,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 8}",0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5083664347884531,0.49999999999999994,0.501672717812467,0.0033461469808339444,202,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.5086384456210837,0.5000000000000001,0.5017276891242167,0.0034553782484334993
7,6.05022873878479,2.693419853215883,0.008652400970458985,0.001359410733191975,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 9}",0.5000000000000001,0.528042849764219,0.499344978165939,0.563132372214941,0.49999999999999994,0.5181016529866762,0.02503233707890469,99,0.49999999999999994,0.5399440670718226,0.4998929460916636,0.5729551264411573,0.4999454088874332,0.5225475096984153,0.02958392279942505
8,7.833498191833496,2.26019638701232,0.008655786514282227,0.001210673430892606,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.532892627398896,0.5361908786616492,0.5357877057440377,0.5632368854387202,0.49999999999999994,0.5336220171779545,0.020092890961737855,37,0.5384006344595569,0.5464881802058592,0.5295454938403924,0.5701251374323917,0.5000000000000001,0.5369118891876401,0.022863914428331553
9,6.773336267471313,2.14416280534706,0.00991230010986328,0.0016784371527850033,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.5000000000000001,0.5005497085437923,0.5908028216325161,0.5496854521625163,0.49999999999999994,0.5282042539001718,0.036703840371480174,49,0.5006620288751138,0.49997613345917724,0.5838426402389413,0.5573509010135149,0.5003843197540354,0.5284432046681566,0.03542378089318505
10,9.363630628585815,4.390358613609157,0.009891605377197266,0.0016930165758757732,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.5000000000000001,0.5000000000000001,0.5888579106483037,0.5704254461135194,0.49999999999999994,0.5318518805056903,0.03944888667314902,41,0.49999999999999994,0.49999999999999994,0.5948433840348923,0.5749356592755925,0.5000000000000001,0.533955808662097,0.04206099337099177
