k,Credit Default BIC
2,298606.3532212973
3,223278.6395840069
4,220928.6924703833
5,200054.40011043855
6,187888.76236229273
7,173202.14286494223
8,176163.97375051767
9,175507.39576267096
10,173843.16283710967
15,167341.78100008907
20,150097.495846782
25,139574.47509774574
30,131430.86214060555
35,123489.23691871869
40,116941.61044479348
