k,Spam log-likelihood
2,-17.228299704212443
3,-16.890527216332487
4,-14.727280596117975
5,-14.42689656543584
6,-14.230729004851922
7,-14.989825625037156
8,-13.057337180293704
9,-14.272322221903762
10,-12.968455307525801
15,-12.47090984410968
20,-11.61594731533436
25,-10.801114914277612
30,-10.820160386067531
35,-10.580335693131968
40,-10.15404411563193
