k,Credit Default log-likelihood
2,-9.220529595099448
3,-8.07789230246216
4,-7.68295625005973
5,-7.233460418206384
6,-6.864127352486713
7,-6.423025983748228
8,-6.603807417610306
9,-6.554390578482262
10,-6.374289869168061
15,-5.768439492229184
20,-5.179345563050675
25,-4.868923377973338
30,-4.595895663827218
35,-4.6905385238743555
40,-4.555237244662026
