,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.8400059700012207,0.07656183623203072,0.0031130313873291016,0.0003849086427882577,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.6084638727138524,0.6366835411779231,0.641077087706301,0.6178369652945923,0.6444092630533308,0.6296834591171302,0.01404933830988852,239,0.6218477531857816,0.6450865301599165,0.6358233573444325,0.63026058937903,0.6413958922847476,0.6348828244707816,0.008230411956575123
1,0.7271342754364014,0.24096864266540735,0.0032769203186035155,0.0007850814952851193,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 3}",0.6174444353317478,0.6357060542453802,0.6278861587850352,0.6402185385236233,0.6320543862916743,0.6306511929962516,0.007764426857990847,236,0.6264290873445804,0.6373703336211229,0.6368349161759209,0.6407878804256211,0.6537941870205873,0.6390432809175665,0.008802571956981978
2,0.865089750289917,0.3093480177325965,0.002868318557739258,0.00022335541130994954,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 4}",0.6362667104076111,0.6342449685146314,0.6691772646828825,0.655491401254113,0.6451853231514247,0.6480658856516465,0.01296074869825513,163,0.6332198318113811,0.6688916665592826,0.6699206216254525,0.669756911068132,0.6483799861797939,0.6580338034488085,0.014869769777849321
3,0.8671000957489013,0.21943804775288586,0.003017711639404297,0.00021887887251624273,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.5675797588780447,0.6297279499526691,0.6553792649298267,0.6680014900353882,0.658999192897498,0.6358827472247918,0.03649411673859856,218,0.5832275705515144,0.671329072329678,0.6689451438733038,0.6804900897283954,0.6581911743700803,0.6524366101705944,0.03532551684226926
4,1.315969133377075,0.337769811554743,0.003414011001586914,0.0007178437396616481,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 6}",0.6775813991634544,0.6332674815820882,0.6945919249290036,0.6731234866828087,0.6758241758241759,0.6708774768795593,0.02025975355944182,79,0.6568668420781097,0.6775227761813332,0.7027350746749481,0.6871672823993112,0.6906409924812417,0.6829865935629889,0.015350343358943079
5,1.1013663768768311,0.2720556839323691,0.0033788204193115233,0.000398589301469972,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 7}",0.6503116542278357,0.6488969831666461,0.6631785817179074,0.6612963307878562,0.6641211895449184,0.6575531639856539,0.006576472684230254,131,0.6501586441727288,0.668043116889811,0.6742194245067845,0.6673872733145202,0.6612087147079676,0.6642034347183625,0.008141554252564766
6,1.2762439250946045,0.41640147042955605,0.0033546924591064454,0.0004346011314872536,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 8}",0.673070614286886,0.6680763057167551,0.6526731695271021,0.7197802197802197,0.6950394238529831,0.6817013179359331,0.02335995205841586,49,0.6584300675849973,0.6966811850057343,0.6452379418321457,0.7267318043604422,0.6935304964593764,0.6841222990485392,0.029099462990373234
7,1.2035510063171386,0.33560520520885223,0.0031762123107910156,0.00017417504445460888,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 9}",0.6578774706798983,0.6624480388525332,0.6665020372885542,0.6621965605016452,0.7125473396659837,0.672294523585793,0.02028876764356131,78,0.6575272145694682,0.6764100614666959,0.6923520997899564,0.6637630079150918,0.7126117744552664,0.6805328316392958,0.019981172689349482
8,1.3801968097686768,0.5324769455870815,0.0029631137847900392,0.0002068777340896158,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.707332075781186,0.608089476067004,0.7059307733465036,0.6684671260942447,0.7261128701806667,0.6831846624056337,0.041951962841710315,43,0.6797361089614613,0.6360353336855534,0.716701029599371,0.6607853583023536,0.7011978798722982,0.6788911420842075,0.02860885119517034
9,1.316238021850586,0.3637123406246754,0.0038887977600097655,0.0002730107153254967,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.6695440006561142,0.6424352800757295,0.7269415977281145,0.6816601477618426,0.6828708015148693,0.680684022786432,0.027329409116976806,54,0.6646713615023475,0.6775040913366752,0.7374482945246962,0.7039638512822294,0.6842874294030674,0.6935750056098031,0.025348560490393815
10,1.7422280311584473,0.3978117547891907,0.004200553894042969,0.0004875124806367455,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.7046666119904864,0.6724698522451332,0.6978948018273861,0.6488172844105048,0.7357360153970323,0.691922250452439,0.029489259399623054,23,0.7041002424805243,0.7289975902993441,0.72123113797147,0.6656031284622896,0.7002006117435721,0.70402654219144,0.021957018275200663
