k,Spam sse (left)
2,108317.75196424068
3,98995.04634937433
4,90172.9824746799
5,85386.29872916243
6,77385.30981629097
7,73249.22267356724
8,69872.54326398627
9,65759.20732911391
10,63049.87983862617
15,48687.14188664059
20,39713.28287173232
25,33708.96793502303
30,30182.783221049605
35,26907.713853006797
40,24411.44845767517
