k,Spam BIC
2,70907.59630829036
3,58368.00106294497
4,53435.44457745811
5,45936.59317860342
6,45709.10333826191
7,44925.90566848155
8,43121.845462736266
9,45362.303157031856
10,45065.9317864631
15,43292.74630860045
20,33656.29959056582
25,33973.23382029326
30,30204.91277447163
35,29672.923458104306
40,34835.604469770245
