k,Credit Default BIC
2,155971.1103017959
3,152242.33984914026
4,145834.9449554862
5,143907.2153626296
6,144392.98131098415
7,142113.0488051403
8,141683.57308227767
9,140259.0106855533
10,140650.62539967833
15,138114.7607915759
20,138005.26645244818
25,137790.92010582643
30,137676.57613822186
35,137515.9662915191
40,136876.96348643402
