,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,5.039555168151855,2.7451694784583545,0.007755470275878906,0.0006038130661479059,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.5238480939636033,0.5000000000000001,0.5026402418542159,0.5000000000000001,0.5182619215646738,0.5089504314882264,0.010086913644435765,292,0.5254316897209136,0.49999999999999983,0.5034079462244169,0.49999999999999994,0.5178492400470762,0.5093377751984812,0.01040201981829132
1,5.605558633804321,1.0306239495034444,0.008865737915039062,0.0007113146701648596,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 3}",0.6260911999678024,0.6085824655693652,0.595848169297951,0.5889150151158886,0.6093436838390967,0.6057572460448322,0.012777330622073566,222,0.6206883309397231,0.605467573823618,0.6128293773981207,0.590390793029414,0.6034074272743604,0.6065567004930472,0.01011424873599232
2,4.480320262908935,1.2728317742702049,0.00845179557800293,0.0007878761274742562,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 4}",0.6359705256944305,0.5907457171649313,0.6024689284514614,0.6169801813906618,0.6112145041502839,0.611477655453452,0.015109084582697599,157,0.6276498526039961,0.5838240551739213,0.623940652219604,0.6173669251905306,0.6076365699118076,0.612083611019972,0.015679217983818952
3,6.0419069766998295,1.9727085383582241,0.008355093002319337,0.0009014714163959509,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.6420250337069607,0.6102149815250253,0.5894759825327511,0.5554350016795433,0.6070359915314044,0.6008397784020877,0.028333041628298226,255,0.634293737979457,0.601063009225835,0.6128223882245395,0.5467262773911065,0.6046391503771643,0.5999089126396204,0.028986803360473688
4,6.676300048828125,1.3299632625509028,0.007714557647705078,0.0008453777433340524,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 6}",0.6251048102013027,0.6294860597917368,0.6150151158884785,0.6066274773261674,0.6052696844439963,0.6163019788586193,0.009677378824527686,111,0.6187652540166461,0.6195808561120574,0.6319976581860915,0.6054559252009828,0.6032104506328604,0.6158020288297277,0.010497126760893516
5,5.94033727645874,1.745869513996983,0.008289957046508789,0.00042758965621990527,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 7}",0.6171751219152262,0.5961404098085322,0.5914511252939202,0.6247967752771246,0.6237688611083106,0.6106660101269361,0.014098883945244868,168,0.6088757170332669,0.5871820697348257,0.6085624554440183,0.6240306929242991,0.6228514939668822,0.6103004858206585,0.01330833025289635
6,6.194052457809448,2.085111174843063,0.00785984992980957,0.0009138093614737197,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 8}",0.5942235324894855,0.5968055089015789,0.595848169297951,0.589247564662412,0.6232274758880264,0.5998684771905167,0.011963961716951169,261,0.5918943745958158,0.589842552179218,0.6121603057001558,0.591297370698085,0.6217882692078458,0.6013965744762241,0.013095497505998118
7,6.4606400489807125,1.935892142163193,0.008150672912597657,0.001537096059166696,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 9}",0.6027851005171755,0.620141081625798,0.6039973127309373,0.6177494121598927,0.5950512484457438,0.6079453572082953,0.00952135536075771,192,0.5977516860255152,0.6138068542510483,0.6179982175718401,0.6180835988274812,0.5933424581408897,0.6081965629633549,0.010536044456044476
8,6.316080617904663,2.051411882453939,0.008545732498168946,0.0010965507575492772,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.6270698757034862,0.5882297615048707,0.6250554249244207,0.588354047699026,0.607235608428269,0.6071902929218971,0.016904455700026647,203,0.619563019140484,0.5879132254431607,0.6435381690103065,0.5884875969873765,0.6037254524208862,0.6086454926004429,0.020962183594237533
9,7.859685802459717,1.516793474561474,0.008637523651123047,0.0008298165903333492,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.6182745390028106,0.6256298286865973,0.6052334564998322,0.616210950621431,0.6111099909265046,0.615292240531658,0.006859610557950018,121,0.6109340329394376,0.6184442653704835,0.6300468602050685,0.616187391959025,0.6106933174845416,0.6172611735917113,0.007059687500234202
10,9.869578552246093,2.0005613298419647,0.008823966979980469,0.0011417564263448707,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.6228828339336863,0.6258582465569366,0.6053476654350018,0.6169701041316763,0.6269597069597069,0.6196034340651004,0.0079263927619331,86,0.6134154089714194,0.6205919565568081,0.6258984393742082,0.6136267728416582,0.6245080200930445,0.6196081195674277,0.005266331870172523
