k,Spam BIC
2,26887.017875502053
3,25787.97878959538
4,22736.941710209197
5,21593.50417643169
6,21179.075267180182
7,21124.474702005864
8,21001.889280776373
9,21043.522264179825
10,20500.40923716469
15,18414.31578811235
20,18389.875373152343
25,18679.029922938957
30,19011.82629913905
35,19326.31953389742
40,19653.13924375129
