k,Spam sse (left)
2,21670.027363324712
3,16436.11609597639
4,13319.654821738844
5,11201.988067942111
6,9602.989680937448
7,8429.917307641254
8,7357.786853590818
9,6580.423513062484
10,5920.076427770557
15,4094.9365928503153
20,3130.8464733956353
25,2658.0733035299945
30,2363.2277425231423
35,2094.3536667476783
40,1920.9021476939893
