k,Spam sse (left)
2,119667.17677257155
3,106568.00996300514
4,96412.5438592747
5,88145.23695170815
6,82267.42867528493
7,75808.69211796967
8,70497.11714938415
9,66037.91277635118
10,62329.71325697792
15,51097.58310393609
20,42250.78600728729
25,36922.20675235347
30,32725.694142847926
35,29620.36221304047
40,26945.534255191564
