k,Spam log-likelihood
2,-15.865029035198186
3,-13.093072418598247
4,-13.314995191110954
5,-11.25226500873231
6,-11.031881829780582
7,-10.888280766166888
8,-8.77357076310065
9,-10.009595716136445
10,-9.634578270733197
15,-7.490543815398992
20,-7.292005545424811
25,-7.523645542189128
30,-6.9404285102944705
35,-4.982475178946358
40,-4.792855899234767
