k,Spam BIC
2,72206.6719814928
3,60058.112330117256
4,61405.96096486153
5,52454.5940789556
6,51808.52748449819
7,51508.594665984645
8,42322.90274841903
9,48242.324012961384
10,46899.16614534053
15,38970.96270197887
20,39813.056062220196
25,42594.393048918675
30,41702.3545504225
35,34613.00481399015
40,35495.304982335234
