k,Credit Default log-likelihood
2,-11.633686956437408
3,-11.39681713038972
4,-11.247030700016415
5,-11.034136365404088
6,-10.788439826827629
7,-10.456054287474961
8,-10.637124150473555
9,-10.379286449973149
10,-9.866309977049335
15,-9.591890353919446
20,-9.194692278033148
25,-8.896461014350868
30,-8.916347185626158
35,-8.710761042865348
40,-8.526161873514047
