k,Credit Default sse (left)
2,285298.4067441067
3,233270.86999250972
4,212061.75918039645
5,196970.11718317313
6,181865.35243401164
7,168490.09127513514
8,157658.00167798967
9,149997.98324395763
10,142402.51383470313
15,120995.07649788269
20,107384.84813110525
25,96400.60720010083
30,88774.02439367678
35,82920.8664067738
40,78422.57850791531
