k,Credit Default BIC
2,342711.6843161262
3,336093.1531301439
4,332034.87377698824
5,326121.22203920543
6,319243.1855048772
7,309816.49234772834
8,315485.38801970665
9,308250.40132481424
10,293514.33472067374
15,287173.60629975307
20,277223.19136779394
25,270182.4007146329
30,272494.26264922443
35,268177.2385511547
40,264477.23147132446
