,0,1,2,3,4,5,6,7,8,9
2,0.5178724270621639,0.553727835517631,0.5121129181236959,0.4849968141164615,0.48428241781447035,0.6056227430144556,0.5272405403753382,0.5165293339333908,0.49433948679653866,0.42535170292931335
3,0.6898012681662473,0.6259583005906061,0.5297367392352094,0.5818572328419239,0.6379527098567908,0.6815636020912771,0.6127486550943202,0.5500634627990498,0.5583843946748157,0.5964477058155919
4,0.675749184698096,0.6790939912625895,0.6191112121412369,0.6420921979589868,0.6716846446376549,0.6887403013017703,0.6142007839472088,0.5692108222952308,0.6490775292790754,0.5250304902353234
5,0.7363546348766408,0.7077562936636955,0.5807181700588928,0.7504603023072555,0.7532173024801161,0.7078997141344159,0.7145117099016057,0.7035388634767452,0.7276799989242536,0.5908011574694535
6,0.7349858424527982,0.7664996164369952,0.6795975199734265,0.7428457522890163,0.7297924339378672,0.7799704732737918,0.7183495779239942,0.7123008284332272,0.7413022846217572,0.6037555711067566
7,0.7387259080404648,0.7640090462709486,0.7558263820627774,0.7508904001551185,0.7325920316946093,0.82745571618919,0.7607413679009527,0.7486813621797698,0.8287551175264202,0.7108905996892965
8,0.7586250501246354,0.8229325289547589,0.7831509579276478,0.8358058435852842,0.8358114356513742,0.8121439848469673,0.8091307937914541,0.7672733988492952,0.8391997965320851,0.7262703331983807
9,0.7764239862805304,0.8364317297323218,0.749846346443512,0.857856080436183,0.8489290035943499,0.8285223771698359,0.8291726293319029,0.787294337770046,0.8364397164998084,0.7825496718748314
10,0.8487915185815212,0.8135932676226001,0.806297492960262,0.8748814149726529,0.8494180606275008,0.8616097784216105,0.8447501189477096,0.7735994519839033,0.8636293701625943,0.8019776787558519
15,0.8869599972991821,0.8722540763172212,0.8445157847179716,0.8916514016678521,0.9081647047879693,0.8974839720923823,0.8980837351209267,0.8264855388715907,0.8880449819090239,0.8943942835678476
20,0.9287723940998821,0.9144701687865989,0.8825842598334768,0.9296116643911719,0.912204665908676,0.9304294921878445,0.9254142151882129,0.8928539299859999,0.9255387020782126,0.9376834046212709
25,0.9291731529200122,0.9391381145596527,0.9336667512031048,0.9534380542904669,0.9255902000864833,0.9484215887954824,0.9429169240277679,0.9236553675098074,0.9303809344871478,0.9388320112528286
30,0.9524060245131204,0.9618076870267216,0.9304852512213346,0.948814263893428,0.9429303379741097,0.9499647459322669,0.9566816306085982,0.9309924655919145,0.9505076722397063,0.9538723143132047
35,0.9645172406655982,0.9642069842241431,0.9260390610373754,0.9432157508490987,0.9496686936471054,0.9658109303435927,0.9665635895863232,0.9375034753127034,0.9507198773598553,0.9580677527972156
40,0.9603588793957007,0.9699083869480244,0.9490178425746327,0.9625352997217825,0.9573362944734348,0.9629217443809497,0.9666515660488254,0.9482109888493161,0.9673374808548599,0.9617462754547867
45,0.9638952930952612,0.9701105498059216,0.9618951797255203,0.9565146741930267,0.9581221169942706,0.9674307353638113,0.9695749873026639,0.9612792382255413,0.9699311488003823,0.9642301710381923
50,0.9701788517129349,0.9785661583681344,0.9665067395953364,0.9725066055279038,0.9671129583441566,0.97218123907173,0.9666380152938866,0.9586491915948928,0.9727458726706935,0.9697049779997473
55,0.9728603381026084,0.9794865223555824,0.9574525656539037,0.9748327649723931,0.9647757099049572,0.971085483414962,0.9654712070002092,0.9677986655680133,0.9728214007424681,0.9686263940360125
60,0.9749887735754433,0.9794969187374536,0.9765335223153044,0.9733785496685341,0.9720730049838274,0.9730824436937854,0.9706324152040245,0.9703137482164882,0.9744496272548185,0.9726463305083982
