k,Spam log-likelihood
2,184.45910221298766
3,201.8609085007101
4,209.1990303773015
5,214.7930312637646
6,219.58994985617022
7,219.01431464455248
8,223.06517210953916
9,226.3434994529223
10,227.40952929748343
15,236.7648250474226
20,241.0858794668691
25,241.88279958820527
30,247.813552829087
35,249.17117615853556
40,252.42481971857342
