,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,3.3016337871551515,1.4648228749058678,0.013682985305786132,0.005512262480837791,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 2}",0.531324888736734,0.5763981425398748,0.5695336159903088,0.6110034322632747,0.5240346609911827,0.5624612121501588,0.031767552818106,368,0.5937365795124416,0.5797190130111113,0.5716406370805628,0.6151295588592633,0.530104490862409,0.5780660558651577,0.02815527857070798
1,2.6852415561676026,0.5546960653540011,0.01179366111755371,0.00018270066586164392,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 3}",0.664609219244014,0.7065414900060569,0.6777912376337573,0.6944074298405006,0.7174369109151717,0.6921408514124743,0.01906038806955995,346,0.6909388025767336,0.7043075835560758,0.710662926064194,0.7091121959840065,0.6873278662476607,0.7004698748857342,0.00955897216789918
2,2.9431981563568117,0.2622597856527996,0.016167306900024415,0.010388279587383602,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 4}",0.7545713595263508,0.7998889561881686,0.7460528972339995,0.7593276801938218,0.799802371541502,0.7719146060386273,0.0231844690524282,287,0.7830459770114943,0.7615078751463473,0.7744637610726988,0.7852260929112637,0.7765215236548347,0.7761530459593279,0.008334304612426976
3,2.8945064544677734,0.43085167563828325,0.01282658576965332,0.0016532395290409492,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 5}",0.7051573796242221,0.7774076317383403,0.7499899051080152,0.7189481122551987,0.7863940407418668,0.7475541851167841,0.03169208292317188,320,0.7477327270430718,0.7602951246990214,0.7570213611964037,0.7631558019836973,0.7576785525127746,0.7571767134869937,0.005194975349964261
4,3.4017804145812987,0.47770193591796284,0.012595701217651366,0.001021796614688746,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 6}",0.781239301609038,0.8175146375933778,0.7931152836664647,0.7871592973955178,0.8085081585081585,0.7974988671654122,0.013509654719274997,247,0.809184350132626,0.809710839647441,0.807864101261349,0.8051757273189157,0.8068615161894003,0.8077593069099465,0.0016328577249223452
5,2.8468629837036135,0.21325578700295855,0.01295628547668457,0.0012315354123749174,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 7}",0.8002346094206255,0.8400363416111447,0.7909145972138097,0.7965475469412476,0.8052498226411269,0.8065950260459572,0.017363604185598482,236,0.8085670077049388,0.813404316419625,0.8207691797919108,0.8161633789127215,0.8149158625351204,0.8147639490728633,0.003957144446060503
6,4.525297212600708,0.7685158909953982,0.013396787643432616,0.0008175446486901376,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 8}",0.7462089936967597,0.8295073692711487,0.7849182313749241,0.7871592973955177,0.7852184047836223,0.7865903445804543,0.026382022455182032,264,0.8058244916003537,0.7967726258587554,0.809213810775586,0.7941880757251097,0.817766788400329,0.8047531584720268,0.00855230509040217
7,5.270970487594605,1.7974853409404297,0.013893222808837891,0.0016444266592440533,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 9}",0.8026058763114968,0.8059761760549161,0.7901372905309912,0.8149000605693518,0.7896523766088983,0.8006583788411256,0.009659610680306845,243,0.8537814197296957,0.7929333539508273,0.8431089708188826,0.8492412025889681,0.7981432253703715,0.827441634491749,0.02631991294107385
8,3.715631437301636,0.5929424710767419,0.013411378860473633,0.0006753552693927439,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 10}",0.8693185250820629,0.8984554815263476,0.8514839491217443,0.874419543710882,0.8657139961487788,0.8718794185368866,0.01531820027991982,179,0.8921813818365542,0.8820053458216439,0.8906514391747111,0.8853078265479688,0.8826744540900997,0.8865640894941954,0.0041412559618844895
9,5.223228168487549,1.3609663163544343,0.012402153015136719,0.0009212047233376133,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 15}",0.8779829631270515,0.895800524934383,0.8402685241267916,0.8881082172420756,0.896908888213236,0.8798079459122212,0.02089663523941937,157,0.901796766451939,0.9024277099118604,0.884223199098721,0.8958006582871277,0.8999073756475509,0.8968311418794398,0.006715122231627489
10,4.071072006225586,0.7827258459521093,0.01322932243347168,0.000902529484897603,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 20}",0.8902823368306582,0.8984554815263476,0.882020997375328,0.8709872804360992,0.9093544137022397,0.890214178968895,0.013194736024269614,138,0.9164029935581659,0.8936579115951315,0.9130199474253905,0.9095959707526121,0.8845729695783543,0.9034499585819308,0.012242256043675192
