,0,1,2,3,4,5,6,7,8,9
2,0.67988484505421,0.7097040222720857,0.7739338074779106,0.6975833082686045,0.734416317825518,0.7147928852799165,0.5532162497844918,0.5183964562760136,0.7265915176834092,0.4656324908999267
3,0.6330088953294116,0.7133431744063973,0.8166314813912374,0.8234177342970839,0.7417956350568895,0.6227454441743269,0.6731749109598638,0.7505444819443429,0.7757061629095182,0.6669052052439339
4,0.6795377852258968,0.8124447699020096,0.8614331617537798,0.8343663610449558,0.7886052989591168,0.6924574804852504,0.7816733170827407,0.7899840233244746,0.7634600984558181,0.704998149972223
5,0.8648335829820156,0.8607338625210995,0.8890771232822201,0.847883012902554,0.7595624192839113,0.7917713545287037,0.7976119960320294,0.7734645048246348,0.8693469024736064,0.7697724206211956
6,0.8769664198087653,0.9032762811028022,0.9048280334676776,0.8627825471894848,0.8113914867309121,0.9163092462726297,0.8412747823759967,0.857559931888076,0.8503498611021998,0.8433770284047547
7,0.8270072786720377,0.9068016806799399,0.9344557742399053,0.8574469143029754,0.858095008903811,0.8842466185343812,0.8278658329980143,0.8940549289782391,0.8876009110197663,0.8228367595172621
8,0.8159962912327102,0.9095066221122986,0.8985174481884995,0.8260248437902814,0.8317439749076602,0.8901584900837063,0.8679285649727433,0.9007586934653182,0.9172176840479715,0.8434599739042301
9,0.837052220858179,0.9213107807233948,0.9103899316963884,0.9067929733054398,0.9005499594089238,0.890000334700143,0.8924448349468111,0.9090627978240648,0.9081817663618671,0.8627287932739566
10,0.8762429063677116,0.9122575358415109,0.9007660073861058,0.8796646989317138,0.9104283408312126,0.9088884282119223,0.8807207070020999,0.9218264502433554,0.9143733047547999,0.874401314663207
15,0.9210715146072009,0.949488311746093,0.9414423244000828,0.901394188964785,0.9019695034028423,0.946548446635933,0.9388118077466424,0.9186992425704837,0.9545809037704092,0.9118832541741052
20,0.9510883132544796,0.9403081641466954,0.9622069205097363,0.9250735467578599,0.9509258034830792,0.9423907009884712,0.9695904767137222,0.962961657631179,0.9524558172275474,0.9320857817819296
25,0.9542166375680476,0.9603938066613926,0.9639126399103637,0.9168293893529367,0.9699119876192556,0.9704698542175242,0.946574599533261,0.9363152867324737,0.9578189498695769,0.9373774358829009
30,0.9570773139773627,0.9649515383609345,0.9701816919570098,0.9447268807731418,0.9664466489824807,0.9651972049731664,0.9718146860125421,0.9643722018045544,0.9703900712019352,0.9652386759458752
35,0.95677678853646,0.9692094332062227,0.9618225992107929,0.9456839893113792,0.9541223558494946,0.9720571210225515,0.967102434564994,0.9654068346590543,0.9762864583655613,0.9668722529528555
40,0.9784906603174855,0.9725977248912234,0.9630635938950097,0.95821552588263,0.9721632891488831,0.9797935979293254,0.9717927851642495,0.9584975350991052,0.9656078465472377,0.977548420312706
45,0.9734438663414965,0.9737881942260818,0.9692299269927768,0.9577589907924947,0.9697026530060114,0.9773566625333325,0.9792776524282175,0.9725039444422925,0.971948570831504,0.9775600411051354
50,0.9765820919653536,0.9812042423040204,0.9763442127703936,0.959364778980311,0.9757215991424141,0.9756627288320231,0.9810256890364932,0.9691499301545071,0.9777285397717673,0.9817316934137152
55,0.9841747526319249,0.9845149193805254,0.9819554118337936,0.9622203110526106,0.9827852651619403,0.9779805536920778,0.9815989631069834,0.971258069756477,0.9817544036166952,0.9838167495993859
60,0.9817440818286671,0.983304455317446,0.9713582876159135,0.9716250072639981,0.9693919518154527,0.9785390809733218,0.9854336525017188,0.9765682260447014,0.9829901150330392,0.9782627044053565
