k,Spam sse (left)
2,25881.760977574435
3,23592.68130071185
4,21968.295069492186
5,19797.575614748574
6,18287.07295172741
7,16923.208347492255
8,15478.606238291273
9,14276.352981709704
10,13137.619806872415
15,9229.759657349661
20,7239.462232403001
25,6032.797034924897
30,5149.3156571659965
35,4523.366631462851
40,4125.856042982935
