k,Credit Default log-likelihood
2,-1.3867707796790665
3,1.500925764363377
4,3.1659883794763775
5,3.883540958753004
6,4.459202343009039
7,4.466314066784166
8,4.46869871578274
9,4.542978758244261
10,4.549389535544744
15,4.5554130124156
20,4.5554130124156
25,4.5554130124156
30,4.5554130124156
35,4.5554130124156
40,4.5554130124156
