,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.9187485694885253,0.33239652266084546,0.0031246662139892576,0.006249332427978514,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 2}",0.5004767315805289,0.5138140814507696,0.41561283355594153,0.45576593998247117,0.4979826634108463,0.47673122455144373,0.036237511425422336,358,0.5083378817625532,0.4973835463669932,0.39275971322185305,0.43655148350681555,0.5155708638837767,0.4701206977483984,0.047709847499692044
1,1.296871280670166,0.3790130956242805,0.0031253337860107423,0.0062506675720214845,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 3}",0.2358527148482948,0.5457206310897728,0.5264182533193166,0.5784763424240916,0.49411718126208476,0.476036818232683,0.12328207703998321,359,0.2596029280109491,0.54589963280294,0.5787625771425172,0.5542798231863202,0.545850800401724,0.4968791523088901,0.11924845384452244
2,1.9656198024749756,0.6999852296038174,0.0,0.0,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 4}",0.678230702515178,0.6934302488118534,0.6986880482396253,0.714687324295621,0.6722513778792728,0.6914593972814268,0.015095161173936467,318,0.6925506068661919,0.6521818602780753,0.713790902434897,0.7187622723920211,0.7174350662283171,0.6989441416399005,0.025229693417921757
3,1.659370231628418,0.7343005004606867,0.0,0.0,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 5}",0.7888124713434203,0.7870130693404052,0.7737931034482761,0.7385107323876586,0.6871417365594638,0.7550857973782,0.03845134245457132,270,0.7954903718097941,0.7984654731457705,0.79754636193298,0.7282557829427676,0.6638018282287633,0.756711963612015,0.053584729283983945
4,0.7249969959259033,0.10345504572898101,0.009375476837158203,0.007655044819729882,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 6}",0.6772018466426581,0.7598808296611801,0.723051900044359,0.714253213513821,0.7380303875561959,0.7224647446324275,0.027428312452157023,292,0.7086126365926239,0.7193333863496252,0.7321695233977041,0.7378016726999085,0.7296178901040513,0.7255070218287825,0.010353556226849005
5,1.315621566772461,0.621111348703498,0.0,0.0,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 7}",0.7558755810417481,0.8185672699658272,0.7777344258030955,0.8082518909706807,0.8343792199539255,0.7989372975349708,0.028400807677385023,243,0.8159760773341586,0.8204394481348898,0.7835832879923418,0.7991240294644548,0.8516474902245151,0.8141540666300721,0.022843191897001576
6,1.4718729972839355,0.4661815159421916,0.0,0.0,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 8}",0.677229426158523,0.6932802787718969,0.7609756097560976,0.6676204101096807,0.7901659522785061,0.717819261959624,0.048704344848149256,301,0.7362184958329095,0.7209560551363656,0.7747430293298392,0.6980799839249525,0.8242490032499173,0.7508493134947969,0.044386245564462544
7,2.1593697547912596,0.549626856447298,0.0,0.0,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 9}",0.829570694513509,0.8467198997964616,0.8076022377379766,0.8123273113708824,0.8203849281648122,0.8233238670391969,0.013879305536460976,230,0.8603823626920074,0.8415844837378622,0.8494129110613194,0.8544121040083248,0.8369076815727102,0.848539908614445,0.00847555510582733
8,1.437495803833008,0.37525917078331295,0.0,0.0,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 10}",0.8698553948832035,0.8756397842025176,0.8847420417124042,0.8776236651528173,0.8613146326146096,0.8738377561237527,0.007860696959307393,177,0.891683338096597,0.8763405318054869,0.8720116019819207,0.8835425064125986,0.8781841533546825,0.8803524263302572,0.006766568237631536
9,1.4843714714050293,0.3080924586135795,0.0,0.0,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 15}",0.8768010394945036,0.8756735950731332,0.8662295996652255,0.8591594481873599,0.8752206930292892,0.8706173658807299,0.006863770609214473,181,0.9079309877970984,0.8876097615540857,0.8935176433159131,0.8664308494124868,0.8992524123122914,0.890948330878375,0.013972993333177544
10,1.2281229972839356,0.3254487932576065,0.0062503814697265625,0.007655122673050358,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 20}",0.8422140510432756,0.8836394532848019,0.8894657740128433,0.9043147658787773,0.8621820053642525,0.8763570086887402,0.021793027987032195,169,0.8770036042838893,0.9056326951114568,0.9109627309281034,0.9074482008553254,0.8733750147457906,0.894884449184913,0.016212736811606086
