k,GMM,Kmeans
2,0.778843537414966,0.778843537414966
3,0.778843537414966,0.778843537414966
4,0.778843537414966,0.778843537414966
5,0.778843537414966,0.778843537414966
6,0.778843537414966,0.778843537414966
7,0.778843537414966,0.7982312925170068
8,0.778843537414966,0.778843537414966
9,0.778843537414966,0.778843537414966
10,0.778843537414966,0.7938095238095239
15,0.778843537414966,0.7931292517006803
20,0.778843537414966,0.7926530612244898
25,0.78,0.792108843537415
30,0.7872108843537415,0.7994557823129251
35,0.7799319727891156,0.8019047619047619
40,0.7801360544217687,0.8
