k,Spam log-likelihood
2,177.14494357080562
3,194.5456333509228
4,200.7751561415005
5,211.29446396608762
6,212.64118883412362
7,215.99852225384464
8,219.08786009707913
9,221.3762867588894
10,222.5198909268967
15,228.812223294993
20,238.66592536587217
25,239.94540064550824
30,243.4990822424901
35,247.31012875894584
40,250.5645402045868
