k,Credit Default BIC
2,-1787250.2484474236
3,-1827811.5117559393
4,-1848113.7076969377
5,-1853498.4562569815
6,-1859655.179388413
7,-1877184.3104295274
8,-1889036.3157152776
9,-1891125.3317868402
10,-1890847.0304172162
15,-1910639.896231241
20,-1913695.6980439564
25,-1927061.2335706188
30,-1928553.6416503838
35,-1934401.5631680419
40,-1938754.2912795872
