k,Spam sse (left)
2,39.78402217500481
3,39.11385152314349
4,38.61329828595275
5,37.88797934089837
6,37.532002926530225
7,37.069836549021986
8,36.39261881239829
9,35.47490071408819
10,35.21372334169977
15,32.34299137307327
20,29.585892779729296
25,27.29756951348831
30,24.9634982498399
35,22.73353449983784
40,20.916409414987136
