k,Spam BIC
2,-772157.7061599662
3,-837390.3057292742
4,-852263.2845097383
5,-886474.614223517
6,-879335.9399691632
7,-881261.0890658054
8,-881978.1141036463
9,-879084.631535627
10,-871030.2891655436
15,-833347.5736836212
20,-811719.5128218438
25,-751438.8375851426
30,-701410.2844270363
35,-652541.932325918
40,-601164.2693255668
