k,Credit Default log-likelihood
2,-10.133505626681323
3,-7.5595887784803
4,-7.467908886866587
5,-6.746149224969839
6,-6.320602304971016
7,-5.809307706427815
8,-5.8983005358752925
9,-5.864218233573717
10,-5.795861953798856
15,-5.515977928760808
20,-4.870689029019138
25,-4.454014564796883
30,-4.118272338394222
35,-3.7894004431226276
40,-3.507943471251089
