k,GMM,Kmeans
2,0.778843537414966,0.778843537414966
3,0.778843537414966,0.778843537414966
4,0.778843537414966,0.778843537414966
5,0.778843537414966,0.778843537414966
6,0.778843537414966,0.778843537414966
7,0.778843537414966,0.778843537414966
8,0.778843537414966,0.778843537414966
9,0.778843537414966,0.7825170068027211
10,0.778843537414966,0.7817006802721088
15,0.7917687074829932,0.7826530612244897
20,0.778843537414966,0.7870748299319728
25,0.7845578231292517,0.7882993197278911
30,0.7840816326530612,0.7900680272108843
35,0.8005442176870748,0.7872789115646258
40,0.8,0.7904761904761904
