k,Spam log-likelihood
2,-17.94718805633857
3,-12.467793078711006
4,-9.380270256127618
5,-8.896050447861445
6,-8.68590528284359
7,-7.2064897117127655
8,-7.930874410164655
9,-8.15094277208603
10,-8.006022344945574
15,-5.275328755978856
20,-4.82191836131091
25,-4.106914206190643
30,-2.6120276786684484
35,-3.066120892695748
40,-1.23120702025991
