,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,6.799907493591308,0.3374318996950808,0.028166675567626955,0.02624163316075264,0.1,"(50, 50)",32,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 32}",0.9176400104718366,0.9373712901271954,0.9047748839087421,0.9270240258429232,0.9145890341542514,0.9202807964091628,0.011111434410901112,31,0.9263088922571682,0.9264463540170979,0.9213965406790521,0.9376040999359384,0.9288346734124602,0.9281181120603434,0.005324377883517191
1,2.2972269535064695,0.29270204602070865,0.008574199676513673,0.0020038663274289906,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.8530821435044404,0.8940137290530991,0.8435190793458508,0.8365132243084997,0.8653947501773588,0.8585007614869575,0.02022836498416766,369,0.8652235695339144,0.8581324968521507,0.8624467074598511,0.8558483730588261,0.8488895796657705,0.8581081453141024,0.005648743215550481
2,6.400386953353882,0.6880230496759987,0.013301801681518555,0.002614833213551507,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 35}",0.9150824657148035,0.9268423177871996,0.9001514233797697,0.9082071471835249,0.8976031215161651,0.9095827234840562,0.010604879819498349,176,0.9230800808387015,0.9194989948971705,0.9217654465528288,0.9300669332214095,0.9082820294884665,0.9205386969997154,0.007071883917639897
3,3.9437511444091795,1.0268853354125071,0.009517526626586914,0.001060739543038989,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 5}",0.880439817145619,0.8909953563496869,0.8637088633151624,0.8782656975570361,0.8910864497821022,0.8808959304222702,0.010081722068212824,344,0.8846201212580522,0.8559720780224879,0.8803552099670857,0.895900064061499,0.880338983692061,0.8794372914002372,0.013039604835877922
4,6.442127466201782,0.5345199198984253,0.01247715950012207,0.002709001608647074,0.1,"(50, 50)",38,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 38}",0.9151831564532695,0.9327478295982231,0.8996466787805371,0.9080254391278012,0.9119185162663422,0.9135053379086467,0.010933423518607347,125,0.9261604774535809,0.9181448673485165,0.9334158033091079,0.9438865448761844,0.9340062523014221,0.9311227890577622,0.00859693812441408
5,5.855137300491333,2.388478904602178,0.009406375885009765,0.0019264113513249022,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 8}",0.8831987433795838,0.9257419745608723,0.8821118514031899,0.874419543710882,0.9198236546062633,0.8970477793361251,0.021300255601612736,287,0.8939797271693825,0.9101857783472135,0.8952108506925269,0.9114670083279948,0.9097498953325903,0.9041186519739416,0.007805971882621761
6,7.490602159500122,1.687924734244403,0.017647981643676758,0.007544857101467373,0.1,"(50, 50)",41,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 41}",0.9130132710393296,0.9183727034120734,0.9086210377548959,0.9075206945285685,0.9157646701124962,0.9126576208977107,0.004125763737517043,135,0.9129847164329921,0.9121341315248847,0.949846473304027,0.9467185049371533,0.9211091466705676,0.928558594573925,0.016436295605097715
7,5.008641481399536,1.020444033944129,0.013769245147705078,0.0038856620342981357,0.1,"(50, 50)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 11}",0.897954971101758,0.9276196244700181,0.906834241873612,0.8944276196244698,0.9029441572919834,0.9059545734356631,0.01162893336931485,228,0.9137204749273714,0.9264198458105988,0.9153349974596303,0.9216417415891669,0.9000325351707719,0.9154299189915079,0.008937291190315432
8,9.003596448898316,1.539163526036969,0.013216876983642578,0.001311969271820105,0.1,"(50, 50)",44,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 44}",0.9274825301568762,0.9275287704421562,0.9132444982838684,0.9121441550575407,0.9330698287220027,0.922692221346599,0.008419306126128135,13,0.9343390804597701,0.9412997857253309,0.9674346683160664,0.9487375466654884,0.9528321992262178,0.9489286560785747,0.011214294810204457
9,3.253992509841919,0.3671359978257196,0.011922931671142578,0.0011821730977749734,0.1,"(50, 50)",14,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 14}",0.9013029381557485,0.9099030890369472,0.8865536038764383,0.8860488592772057,0.9085537650755042,0.8984701992747663,0.01035918129069784,276,0.9074349501073639,0.8913936689566813,0.9081932448253772,0.9095959707526121,0.9131333008822328,0.9059502271048535,0.007536801863474087
10,5.397377681732178,1.559731633925666,0.012888050079345703,0.0018669985516496105,0.1,"(50, 50)",47,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 47}",0.931419538030892,0.9202503533212193,0.9100847970926712,0.902988088027458,0.9284230262491132,0.9186340911379919,0.010769364755683429,42,0.9513909940634078,0.9197707040137842,0.9569904349554884,0.9320616757604542,0.9544104072192768,0.9429248432024823,0.014529675364502889
