k,Spam BIC
2,21169.35452482206
3,-7463.696669999734
4,-25646.908886536683
5,-16871.187779192594
6,-17360.981604415607
7,-18020.254131747333
8,-44692.117123446405
9,-43730.292088103764
10,-40364.50795955706
15,-61849.91290590668
20,-64379.866257508314
25,-73875.30615788755
30,-69176.05039016923
35,-71190.01718597216
40,-67689.94923321578
