k,Credit Default sse (left)
2,6030.52125329039
3,2403.7606079801612
4,1402.1664596941853
5,689.0408562263281
6,225.18547286644875
7,62.07380963931356
8,16.77749161761943
9,5.020079319735258
10,1.7614313402585156
15,4.263256414560601e-14
20,4.263256414560601e-14
25,4.263256414560601e-14
30,4.263256414560601e-14
35,4.263256414560601e-14
40,4.263256414560601e-14
