k,Spam sse (left)
2,27541.01813999617
3,24889.54019820818
4,22506.840095226704
5,20662.76826799175
6,19241.094470627213
7,17112.357769885864
8,15951.892648782814
9,14711.234858241362
10,13784.706456244745
15,10381.31940661639
20,8213.9560434651
25,7000.7322898741295
30,6106.748685979575
35,5526.3247027606285
40,5060.867772475035
