k,Spam BIC
2,28772.62231233547
3,17843.01011988973
4,-3896.818237254912
5,-29167.92595122262
6,-37589.29180364943
7,-71760.24283486791
8,-71068.77437798429
9,-77008.79495670387
10,-78188.92540723234
15,-88938.16912128196
20,-79918.95628656322
25,-85711.55477674051
30,-83639.09748488302
35,-89998.93032564006
40,-90528.88041872066
