k,Credit Default BIC
2,40819.038936428384
3,-44050.45265010115
4,-92974.50672610506
5,-114041.76574851958
6,-130937.42363732873
7,-131117.72150799917
8,-131159.0433802389
9,-133314.08982028931
10,-133473.77986460525
15,-133506.9360430169
20,-133363.0020014254
25,-133219.0679598339
30,-133075.13391824238
35,-132931.1998766509
40,-132787.2658350594
