k,Spam log-likelihood
2,-5.973254651137119
3,-3.3432485296203254
4,1.6847647269228436
5,7.496114131829604
6,9.569721331425605
7,17.35530394778995
8,17.407430599624092
9,18.930606283313438
10,19.397905718513176
15,22.80995557006807
20,21.836810978684106
25,24.149338819619583
30,24.717178155223475
35,27.155534379162443
40,28.30066017992563
